ID,Country,Helpline Number,Name of Organization
1,Bangladesh,109,Government helpline number for Violence against women/ prevention of child marriage
2,Bangladesh,999,National Emergency Hotline Number
3,Bangladesh,333,National Hotline Number
4,Bangladesh,10921,National helpline center for violence against women
5,Cambodia,1280,Helpline number
6,Cambodia,+855 23 997967,Cambodian Women Crisis Center
7,China,+86 110,Police Hotline
8,China,+86 12338,All China Women's Federation Hotline
9,China,+86 15117905157,Equality Women's Rights and Interest Hotline
10,Fiji,1560,Fiji National Domestic Violence 24-hour toll-free helpline
11,Hong Kong,18281,CEASE Crisis Centre
12,Hong Kong,8100 1155,Po Leung Kuk Refuge Centres for Women
13,India,1091;1090,Women's Helpline ( All India ) and Women In Distress
14,India,181,Women Helpline (WCD)
15,India,100,Police
16,India,011-011-26944880; 26944515; 26944890,National Commission For Women (NCW)
17,India,011-23378044 ; 23378317 ; 23370597,Delhi Commission For Women
18,India,1 800 102 7282; 044 43111143; 9840888882,International Foundation for Crime Prevention and Victim Care (PCVC)
19,Indonesia,+6281 3176 17622,P2TP2A (Integrated Services for Women and Child Protection) Jakarta
20,Indonesia,112,hotline
21,Indonesia,Hotline: +62 821 2575 1234; Email: pengaduan@kemenpppa.go.id ; Website: http://bit.ly/kamitetapada,Ministry of Women Empowerment and Child Protection
22,Indonesia,Hotline: + 6221 390 3922; Email: petugaspengaduan@komnasperempuan.go.id,National Commission on Violence against Women
23,Indonesia,+62 813 8882 2669 (WhatsApp) ; Email: lbh.apik@gmail.com,Legal Aid Organisation for Women Victims of Violence (LBH APIK) Jakarta
24,Korea,02-2263-6464,Korea Women's Hotline
25,Kiribati,191,Kiribati Women and Children Support Centre
26,Kiribati,192,Police (DVSO)
27,Lao PDR,1362,Lao Women's Union
28,Malaysia,6018 988 8058; 603 7956 3488,Women's Aid Organisation
29,Mongolia,976-96490505,National Centre Against Violence (NCAV)
30,Myanmar,067 3 404 222; 067 3 404 999,Ministry of Social Welfare - Relief and Resettlement
31,Nepal,1145,National Women Commission
32,Nepal,01-5191103; 01-5191104 (Central office number),Saathi Women's Shelter
33,Pakistan,1099,Ministry of Human Rights - Government of Pakistan
34,Pakistan,1098,Madadgaar Helpline by Lawyers for Human Rights and Legal Aid (NGO)
35,Pakistan,8090,Islamabad Police Women and Child Protection Centre Helpline
36,Philippines,0919 777 7377,PNP Women and Children's Protection Center
37,Papua New Guinea,7150800,1Tok Kaunseline
38,Papua New Guinea,675 7091 7031,Femili ONG Case management
39,Samoa,800-7874,Samoa Victim Support Group
40,Singapore,+(65) 6571-0192,Star Shelter
41,Singapore,+65 6555 0390,PAVE Singapore
42,Singapore,1800 777 5555,AWARE Women's Helpline
43,Singapore,6779 0282,AWARE Sexual Assault Helpline
44,Solomon Island,26999 (8:30am-4:30pm); 20619 (4:30pm-8am) after hours,Solomon Islands Family Support Centre
45,Sri Lanka,1938,National Women's Helpline (operated by the Ministry of Women and Child Affairs)
46,Sri Lanka,011 471 8585; 07777 349100,Women in Need Shelter
47,Taiwan,886 2 8911 5595,Garden of Hope Foundation
48,Thailand,1300,One Stop Crisis Centre
49,Thailand,02 929 2222,Association for the Promotion of the Status of Women (APSW)
50,Thailand,02 513 2889,Women and Men Progressive Movement Foundation (WMPM)
51,Timor-Leste,(+670)3310501; (+670) 3310219,Ministry of Social Solidarity and Inclusion (MSSI)
